genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
"[14, 12, 16, 10751]",en,28.734,How to Train Your Dragon,7.7,7610,P/DW,217600000.0,277300000.0,2010,"Mar 26, 2010",165000000,494870992,"['Fantasy', 'Adventure', 'Animation', 'Family']"
"[12, 28, 878]",en,28.515,Iron Man 2,6.8,12368,Par.,312400000.0,311500000.0,2010,"May 7, 2010",170000000,621156389,"['Adventure', 'Action', 'Science Fiction']"
"[28, 878, 12]",en,27.92,Inception,8.3,22186,WB,292600000.0,535700000.0,2010,"Jul 16, 2010",160000000,835524642,"['Action', 'Science Fiction', 'Adventure']"
"[16, 10751, 35]",en,24.445,Toy Story 3,7.7,8340,BV,415000000.0,652000000.0,2010,"Jun 18, 2010",200000000,1068879522,"['Animation', 'Family', 'Comedy']"
"[16, 10751, 35]",en,23.673,Despicable Me,7.2,10057,Uni.,251500000.0,291600000.0,2010,"Jul 9, 2010",69000000,543464573,"['Animation', 'Family', 'Comedy']"
"[16, 28, 35, 10751, 878]",en,22.855,Megamind,6.8,3635,P/DW,148400000.0,173500000.0,2010,"Nov 5, 2010",130000000,321887208,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
"[53, 12, 28]",en,21.517,The Expendables,6.1,4647,LGF,103100000.0,171400000.0,2010,"Aug 13, 2010",82000000,268268174,"['Thriller', 'Adventure', 'Action']"
"[16, 10751]",en,21.511,Tangled,7.5,6407,BV,200800000.0,391000000.0,2010,"Nov 24, 2010",260000000,586477240,"['Animation', 'Family']"
"[12, 14, 18, 10749]",en,20.34,The Twilight Saga: Eclipse,6.0,4909,Sum.,300500000.0,398000000.0,2010,"Jun 30, 2010",68000000,706102828,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
"[28, 53, 878]",en,18.985,The Book of Eli,6.7,3495,WB,94800000.0,62300000.0,2010,"Jan 15, 2010",80000000,158750817,"['Action', 'Thriller', 'Science Fiction']"
"[18, 53, 9648]",en,18.06,Shutter Island,8.1,12625,Par.,128000000.0,166800000.0,2010,"Feb 19, 2010",80000000,299461782,"['Drama', 'Thriller', 'Mystery']"
"[12, 10751, 14]",en,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000.0,311300000.0,2010,"Dec 10, 2010",155000000,418186950,"['Adventure', 'Family', 'Fantasy']"
"[53, 28, 12, 35, 80]",en,17.097,The A-Team,6.3,2703,Fox,77200000.0,100000000.0,2010,"Jun 11, 2010",110000000,177241171,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']"
"[28, 12, 10751, 14]",en,16.595,The Last Airbender,4.6,2143,Par.,131800000.0,187900000.0,2010,"Jul 1, 2010",150000000,319713881,"['Action', 'Adventure', 'Family', 'Fantasy']"
"[28, 878, 12, 53]",en,16.216,Predators,6.1,1979,Fox,52000000.0,75200000.0,2010,"Jul 9, 2010",40000000,127234389,"['Action', 'Science Fiction', 'Adventure', 'Thriller']"
[18],en,15.889,The Social Network,7.2,6116,Sony,97000000.0,128000000.0,2010,"Oct 1, 2010",40000000,224922135,['Drama']
"[35, 12, 14, 16, 10751]",en,15.041,Shrek Forever After,6.1,3843,P/DW,238700000.0,513900000.0,2010,"May 21, 2010",165000000,756244673,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']"
[35],en,14.69,Easy A,6.8,4168,SGem,58400000.0,16600000.0,2010,"Sep 17, 2010",8000000,76200721,['Comedy']
"[14, 12, 28, 35, 18]",en,14.463,The Sorcerer's Apprentice,5.9,2879,BV,63200000.0,152100000.0,2010,"Jul 14, 2010",160000000,217986320,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']"
[35],en,14.291,Grown Ups,6.1,3171,Sony,162000000.0,109400000.0,2010,"Jun 25, 2010",75000000,272223430,['Comedy']
"[80, 18, 28, 53]",en,14.172,Faster,6.2,895,CBS,23200000.0,12400000.0,2010,"Nov 24, 2010",24000000,35792945,"['Crime', 'Drama', 'Action', 'Thriller']"
[27],en,14.03,The Wolfman,5.7,1009,Uni.,62000000.0,77800000.0,2010,"Feb 12, 2010",150000000,142634358,['Horror']
"[18, 53]",en,13.745,Black Swan,7.6,8374,FoxS,107000000.0,222400000.0,2010,"Dec 3, 2010",13000000,331266710,"['Drama', 'Thriller']"
"[12, 28, 18]",en,13.548,Centurion,6.1,673,Magn.,124000.0,6700000.0,2010,"Aug 27, 2010",15000000,7885048,"['Adventure', 'Action', 'Drama']"
"[28, 35, 80]",en,13.508,The Other Guys,6.2,2187,Sony,119200000.0,51200000.0,2010,"Aug 6, 2010",100000000,170936470,"['Action', 'Comedy', 'Crime']"
"[80, 18, 53]",en,13.476,The Town,7.1,2386,WB,92200000.0,61800000.0,2010,"Sep 17, 2010",37000000,152566881,"['Crime', 'Drama', 'Thriller']"
"[28, 37, 18, 14, 53]",en,13.467,Jonah Hex,4.6,708,WB,10500000.0,356000.0,2010,"Jun 18, 2010",47000000,11022696,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']"
"[18, 12, 37]",en,13.118,True Grit,7.2,2816,Par.,171200000.0,81000000.0,2010,"Dec 22, 2010",35000000,252276928,"['Drama', 'Adventure', 'Western']"
"[53, 80, 27]",en,13.102,I Spit on Your Grave,6.3,977,Anch.,93100.0,480000.0,2010,"Oct 8, 2010",1750000,1278471,"['Thriller', 'Crime', 'Horror']"
"[28, 80]",en,13.08,Kick-Ass,7.1,7540,LGF,48100000.0,48100000.0,2010,"Apr 16, 2010",28000000,97531134,"['Action', 'Crime']"
"[35, 10751, 14]",en,12.65,Tooth Fairy,5.3,1058,Fox,60000000.0,52400000.0,2010,"Jan 22, 2010",48000000,112610386,"['Comedy', 'Family', 'Fantasy']"
"[28, 35, 53]",en,12.557,Machete,6.3,1862,Fox,26600000.0,17500000.0,2010,"Sep 3, 2010",12500000,46370970,"['Action', 'Comedy', 'Thriller']"
[35],en,12.498,Date Night,6.0,1743,Fox,98700000.0,53600000.0,2010,"Apr 9, 2010",55000000,152269033,['Comedy']
"[35, 18]",en,12.445,Due Date,6.3,2973,WB,100500000.0,111200000.0,2010,"Nov 5, 2010",65000000,211739043,"['Comedy', 'Drama']"
"[28, 878, 53, 80]",en,12.437,Repo Men,6.2,976,Uni.,13800000.0,4600000.0,2010,"Mar 19, 2010",32000000,18195238,"['Action', 'Science Fiction', 'Thriller', 'Crime']"
"[35, 10751]",en,12.256,Diary of a Wimpy Kid,6.0,736,Fox,64000000.0,11700000.0,2010,"Mar 19, 2010",15000000,76954311,"['Comedy', 'Family']"
"[9648, 27, 28]",en,12.246,The Crazies,6.2,1036,Over.,39100000.0,15700000.0,2010,"Feb 26, 2010",19000000,56445534,"['Mystery', 'Horror', 'Action']"
